표준링크ID,시작노드ID,종료노드ID,차로수,도로등급코드,도로등급코드명,도로유형코드,도로유형코드명,도로번호,도로명,도로사용여부코드,도로사용코드명,중용구간여부코드,중용구간여부코드명,연결로코드,연결로코드명,최고제한속도,통행제한차량코드,통행제한차량코드명,통과제한하중,통과제한높이,지도거리,버스전용차로여부,버스전용차로운영코드,링크ID,표준링크순서
1240024003,1240024300,1240007200,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,562.0,,,1240024000,4
1240024004,1240023900,1240023901,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,131.0,,,1240024000,2
1240024005,1240023901,1240024300,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,136.0,,,1240024000,3
1240024101,1240024200,1240006700,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,301.0,,,1240024100,2
1240024102,1240007000,1240024200,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,228.0,,,1240024100,1
1240024201,1240006700,1240024200,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,301.0,,,1240024200,1
1240024202,1240024200,1240007000,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,222.0,,,1240024200,2
1240024301,1240024500,1240006600,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,135.0,,,1240024300,2
1240024302,1240007400,1240024500,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,145.0,,,1240024300,1
1240024401,1240006600,1240024500,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,135.0,,,1240024400,1
1240024402,1240024500,1240007400,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,145.0,,,1240024400,2
1240024500,1240024700,1240024400,1,104,특별.광역시도,000,일반도로,-,동남로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,392.0,,,1240024500,1
1240024600,1240024400,1240024700,1,104,특별.광역시도,000,일반도로,-,동남로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,386.0,,,1240024600,1
1240024701,1240024800,1240024000,2,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,169.0,,,1240024700,2
1240024702,1240007200,1240024800,2,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,104.0,,,1240024700,1
1240027901,1240008000,1240026000,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,132.0,,,1240027900,1
1240024802,1240024800,1240007200,2,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,108.0,,,1240024800,2
1240024900,1240007300,1240024400,2,104,특별.광역시도,000,일반도로,-,고덕로61길,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,216.0,,,1240024900,1
1240025000,1240024400,1240007300,2,104,특별.광역시도,000,일반도로,-,고덕로61길,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,207.0,,,1240025000,1
1240025101,1240024600,1240006700,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,99.0,,,1240025100,2
1240025102,1240025300,1240024600,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,313.0,,,1240025100,1
1240025201,1240006700,1240024600,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,99.0,,,1240025200,1
1240025202,1240024600,1240025300,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,308.0,,,1240025200,2
1240025300,1240007400,1240007300,1,104,특별.광역시도,000,일반도로,-,아라수로50길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,244.0,,,1240025300,1
1240025400,1240007300,1240007400,1,104,특별.광역시도,000,일반도로,-,아라수로50길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,242.0,,,1240025400,1
1240025500,1240025600,1240024700,3,104,특별.광역시도,000,일반도로,-,동남로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,329.0,,,1240025500,1
1240025600,1240024700,1240025600,3,104,특별.광역시도,000,일반도로,-,동남로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,329.0,,,1240025600,1
1240025700,1240007800,1240007000,3,104,특별.광역시도,000,일반도로,-,상일로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,560.0,,,1240025700,1
1240025800,1240007000,1240007800,3,104,특별.광역시도,000,일반도로,-,상일로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,563.0,,,1240025800,1
1240025900,1240007700,1240007400,1,104,특별.광역시도,000,일반도로,-,아라수로50길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,306.0,,,1240025900,1
1240026000,1240007400,1240007700,1,104,특별.광역시도,000,일반도로,-,아라수로50길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,299.0,,,1240026000,1
1240026100,1240025600,1240007300,1,104,특별.광역시도,000,일반도로,-,동남로81길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,521.0,,,1240026100,1
1240026200,1240007300,1240025600,1,104,특별.광역시도,000,일반도로,-,동남로81길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,520.0,,,1240026200,1
1240026301,1240025000,1240007200,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,103.0,,,1240026300,2
1130024102,1130041700,1130041500,1,104,특별.광역시도,000,일반도로,-,하늘공원로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,62.0,,,1130024100,3
1240026302,1240007700,1240025000,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,239.0,,,1240026300,1
1240026401,1240007200,1240025000,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,105.0,,,1240026400,1
1240026402,1240025000,1240007700,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,230.0,,,1240026400,2
1240026501,1240023800,1240006300,2,104,특별.광역시도,000,일반도로,-,올림픽로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,111.0,,,1240026500,4
1240026502,1240025200,1240023800,2,104,특별.광역시도,000,일반도로,-,올림픽로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,456.0,,,1240026500,3
1240021202,1240023100,1240023000,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,585.0,,,1240021200,1
1240021300,1240006000,1240023200,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,108.0,,,1240021300,1
1240021400,1240023200,1240006000,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,108.0,,,1240021400,1
1240021500,1240006400,1240006000,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,278.0,,,1240021500,1
1240026511,1240027300,1240001500,1,104,특별.광역시도,000,일반도로,-,올림픽로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,122.0,,,1240026500,1
1240026512,1240001500,1240025200,2,104,특별.광역시도,000,일반도로,-,올림픽로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,515.0,,,1240026500,2
1240026601,1240006300,1240023800,2,104,특별.광역시도,000,일반도로,-,올림픽로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,111.0,,,1240026600,1
1240026602,1240023800,1240025200,2,104,특별.광역시도,000,일반도로,-,올림픽로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,455.0,,,1240026600,2
1240026611,1240025200,1240001500,2,104,특별.광역시도,000,일반도로,-,올림픽로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,516.0,,,1240026600,3
1240028402,1240026100,1240026200,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,157.0,,,1240028400,2
1240026612,1240001500,1240027300,1,104,특별.광역시도,000,일반도로,-,올림픽로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,115.0,,,1240026600,4
1240026700,1240007900,1240007300,2,104,특별.광역시도,000,일반도로,-,고덕로61길,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,356.0,,,1240026700,1
1240026800,1240007300,1240007900,2,104,특별.광역시도,000,일반도로,-,고덕로61길,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,358.0,,,1240026800,1
1240026901,1240025600,1240025500,1,104,특별.광역시도,000,일반도로,-,동남로82길,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,482.0,,,1240026900,1
1240026902,1240025500,1240025400,1,104,특별.광역시도,000,일반도로,-,동남로82길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,119.0,,,1240026900,2
1240026903,1240025400,1240025300,1,104,특별.광역시도,000,일반도로,-,동남로82길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,223.0,,,1240026900,3
1240027001,1240025500,1240025600,1,104,특별.광역시도,000,일반도로,-,동남로82길,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,488.0,,,1240027000,3
1240027002,1240025400,1240025500,1,104,특별.광역시도,000,일반도로,-,동남로82길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,117.0,,,1240027000,2
1240027003,1240025300,1240025400,1,104,특별.광역시도,000,일반도로,-,동남로82길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,223.0,,,1240027000,1
1240027101,1240008000,1240025900,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,129.0,,,1240027100,1
1240027102,1240025900,1240025300,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,152.0,,,1240027100,2
1240027201,1240025300,1240025900,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,151.0,,,1240027200,1
1240027202,1240025900,1240008000,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,129.0,,,1240027200,2
1240027300,1240007900,1240007700,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,393.0,,,1240027300,1
1240027400,1240007700,1240007900,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,390.0,,,1240027400,1
1240027501,1240025700,1240025300,1,104,특별.광역시도,000,일반도로,-,아리수로82길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,204.0,,,1240027500,3
1240027502,1240025800,1240025700,1,104,특별.광역시도,000,일반도로,-,고덕로83길,0,사용,0,독립구간,000,연결로 아님,10,0,모두통행가능,0,0,201.0,,,1240027500,2
1240027601,1240025300,1240025700,1,104,특별.광역시도,000,일반도로,-,아리수로82길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,222.0,,,1240027600,1
1240041300,1240003700,1240017600,1,104,특별.광역시도,000,일반도로,-,구천면로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,39.0,,,1040011900,1
1240027602,1240025700,1240025800,1,104,특별.광역시도,000,일반도로,-,고덕로83길,0,사용,0,독립구간,000,연결로 아님,10,0,모두통행가능,0,0,187.0,,,1240027600,2
1240027700,1240026400,1240025600,2,104,특별.광역시도,000,일반도로,-,동남로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,278.0,,,1240027700,1
1240027800,1240025600,1240026400,2,104,특별.광역시도,000,일반도로,-,동남로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,278.0,,,1240027800,1
1240027902,1240026000,1240007800,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,263.0,,,1240027900,2
1240028001,1240026000,1240008000,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,132.0,,,1240028000,2
1240028002,1240007800,1240026000,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,262.0,,,1240028000,1
1240028100,1240026400,1240007900,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,545.0,,,1240028100,1
1240028200,1240007900,1240026400,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,545.0,,,1240028200,1
1240028301,1240026400,1240026200,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,499.0,,,1240028300,1
1240028302,1240026200,1240026100,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,157.0,,,1240028300,2
1240028303,1240026100,1240008000,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,151.0,,,1240028300,3
1240028401,1240026200,1240026400,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,503.0,,,1240028400,3
1240028403,1240008000,1240026100,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,151.0,,,1240028400,1
1240028501,1240026600,1240007800,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,197.0,,,1240028500,5
1240028505,1240028600,1240027600,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,251.0,,,1240028500,2
1240030800,1230052600,1240009500,1,104,특별.광역시도,000,일반도로,-,성안로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,229.0,,,1230034100,1
1240030900,1240009500,1230052600,1,104,특별.광역시도,000,일반도로,-,성안로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,227.0,,,1230034000,2
1240031800,1240009500,1240002400,1,104,특별.광역시도,000,일반도로,-,성안로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,120.0,,,1230034100,2
1240031900,1240002400,1240009500,1,104,특별.광역시도,000,일반도로,-,성안로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,120.0,,,1230034000,1
1240035400,1240012100,1240002700,2,104,특별.광역시도,000,일반도로,-,성내로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,155.0,,,1230036400,3
1240035500,1240002700,1240012100,2,104,특별.광역시도,000,일반도로,-,성내로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,155.0,,,1230036500,1
1240035800,1240012200,1240012100,2,104,특별.광역시도,000,일반도로,-,성내로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,68.0,,,1230036400,2
1240035900,1240012100,1240012200,2,104,특별.광역시도,000,일반도로,-,성내로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,68.0,,,1230036500,2
1240036000,1230055200,1240012200,2,104,특별.광역시도,000,일반도로,-,성내로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,41.0,,,1230036400,1
1230025301,1230006401,1230034700,3,104,특별.광역시도,000,일반도로,-,동남로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,200.0,,,1230025300,5
1240036100,1240012200,1230055200,2,104,특별.광역시도,000,일반도로,-,성내로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,41.0,,,1230036500,3
1240043100,2270003900,1240018600,4,103,일반국도,000,일반도로,-,천호대로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,119.0,,,2270009300,1
1100027302,1100034800,1100034700,2,104,특별.광역시도,000,일반도로,-,중계로,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,76.0,,,1100027300,2
1240038000,1240014400,1240013400,1,104,특별.광역시도,000,일반도로,-,진황도로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,210.0,,,1240009500,4
1240038100,1240013400,1240014400,1,104,특별.광역시도,000,일반도로,-,진황도로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,214.0,,,1240009600,1
1240040200,1240003400,1240015900,1,104,특별.광역시도,000,일반도로,-,천호대로157길,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,318.0,,,1240010700,1
1240040700,1240092800,1240016300,4,103,일반국도,000,일반도로,-,천호대로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,607.0,,,1240001100,1
