# 출처: 공공데이터포털 전국교통사고다발지역표준데이터 (https://www.data.go.kr/data/15029185/standard.do#tab_layer_grid)
사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도,사고다발지역폴리곤정보,데이터기준일자,제공기관코드,제공기관명
2025108,2024,보행어린이,11740001,서울특별시 강동구1,서울특별시 강동구 명일동(명일여고앞교차로 부근),3,3,0,1,2,0,37.549196,127.151332,"{ type: Polygon, coordinates: [ [ [969201.398550725, 1949841.44202899], [969218.829699275, 1949842.20308937], [969236.128186258, 1949844.48047839], [969253.162359745, 1949848.25686373], [969269.80257939, 1949853.50350483], [969285.922203073, 1949860.18047158], [969301.398550725, 1949868.23694823], [969316.113837995, 1949877.61162013], [969329.956072662, 1949888.23314037], [969342.819906962, 1949900.02067275], [969354.607439349, 1949912.88450705], [969365.228959583, 1949926.72674172], [969374.603631482, 1949941.44202899], [969382.660108132, 1949956.91837664], [969389.337074882, 1949973.03800033], [969394.583715983, 1949989.67821997], [969398.360101328, 1950006.71239346], [969400.637490343, 1950024.01088044], [969401.398550725, 1950041.44202899], [969400.637490343, 1950058.87317754], [969398.360101328, 1950076.17166452], [969394.583715983, 1950093.20583801], [969389.337074882, 1950109.84605766], [969382.660108132, 1950125.96568134], [969374.603631482, 1950141.44202899], [969365.228959583, 1950156.15731626], [969354.607439349, 1950169.99955093], [969342.819906962, 1950182.86338523], [969329.956072662, 1950194.65091761], [969316.113837995, 1950205.27243785], [969301.398550725, 1950214.64710975], [969285.922203073, 1950222.7035864], [969269.80257939, 1950229.38055315], [969253.162359745, 1950234.62719425], [969236.128186258, 1950238.40357959], [969218.829699275, 1950240.68096861], [969201.398550725, 1950241.44202899], [969183.967402175, 1950240.68096861], [969166.668915192, 1950238.40357959], [969149.634741704, 1950234.62719425], [969132.99452206, 1950229.38055315], [969116.874898377, 1950222.7035864], [969101.398550725, 1950214.64710975], [969086.683263455, 1950205.27243785], [969072.841028788, 1950194.65091761], [969059.977194488, 1950182.86338523], [969048.189662101, 1950169.99955093], [969037.568141867, 1950156.15731626], [969028.193469968, 1950141.44202899], [969020.136993318, 1950125.96568134], [969013.460026568, 1950109.84605766], [969008.213385467, 1950093.20583801], [969004.437000123, 1950076.17166452], [969002.159611107, 1950058.87317754], [969001.398550725, 1950041.44202899], [969002.159611107, 1950024.01088044], [969004.437000123, 1950006.71239346], [969008.213385467, 1949989.67821997], [969013.460026568, 1949973.03800033], [969020.136993318, 1949956.91837664], [969028.193469968, 1949941.44202899], [969037.568141867, 1949926.72674172], [969048.189662101, 1949912.88450705], [969059.977194488, 1949900.02067275], [969072.841028788, 1949888.23314037], [969086.683263455, 1949877.61162013], [969101.398550725, 1949868.23694823], [969116.874898377, 1949860.18047158], [969132.99452206, 1949853.50350483], [969149.634741704, 1949848.25686373], [969166.668915192, 1949844.48047839], [969183.967402175, 1949842.20308937], [969201.398550725, 1949841.44202899] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11680004,서울특별시 강남구4,서울특별시 강남구 삼성동(포그니어린이집 부근),3,3,0,1,2,0,37.516421,127.044664,"{ type: Polygon, coordinates: [ [ [959761.5, 1946245.5], [959778.93114855, 1946246.26106038], [959796.229635533, 1946248.5384494], [959813.263809021, 1946252.31483474], [959829.904028665, 1946257.56147584], [959846.023652348, 1946264.23844259], [959861.5, 1946272.29491924], [959876.21528727, 1946281.66959114], [959890.057521937, 1946292.29111138], [959902.921356237, 1946304.07864376], [959914.708888624, 1946316.94247806], [959925.330408858, 1946330.78471273], [959934.705080757, 1946345.5], [959942.761557407, 1946360.97634765], [959949.438524157, 1946377.09597133], [959954.685165258, 1946393.73619098], [959958.461550602, 1946410.77036447], [959960.738939618, 1946428.06885145], [959961.5, 1946445.5], [959960.738939618, 1946462.93114855], [959958.461550602, 1946480.22963553], [959954.685165258, 1946497.26380902], [959949.438524157, 1946513.90402867], [959942.761557407, 1946530.02365235], [959934.705080757, 1946545.5], [959925.330408858, 1946560.21528727], [959914.708888624, 1946574.05752194], [959902.921356237, 1946586.92135624], [959890.057521937, 1946598.70888862], [959876.21528727, 1946609.33040886], [959861.5, 1946618.70508076], [959846.023652348, 1946626.76155741], [959829.904028665, 1946633.43852416], [959813.263809021, 1946638.68516526], [959796.229635533, 1946642.4615506], [959778.93114855, 1946644.73893962], [959761.5, 1946645.5], [959744.06885145, 1946644.73893962], [959726.770364467, 1946642.4615506], [959709.736190979, 1946638.68516526], [959693.095971335, 1946633.43852416], [959676.976347652, 1946626.76155741], [959661.5, 1946618.70508076], [959646.78471273, 1946609.33040886], [959632.942478063, 1946598.70888862], [959620.078643763, 1946586.92135624], [959608.291111376, 1946574.05752194], [959597.669591142, 1946560.21528727], [959588.294919243, 1946545.5], [959580.238442593, 1946530.02365235], [959573.561475843, 1946513.90402867], [959568.314834742, 1946497.26380902], [959564.538449398, 1946480.22963553], [959562.261060382, 1946462.93114855], [959561.5, 1946445.5], [959562.261060382, 1946428.06885145], [959564.538449398, 1946410.77036447], [959568.314834742, 1946393.73619098], [959573.561475843, 1946377.09597133], [959580.238442593, 1946360.97634765], [959588.294919243, 1946345.5], [959597.669591142, 1946330.78471273], [959608.291111376, 1946316.94247806], [959620.078643763, 1946304.07864376], [959632.942478063, 1946292.29111138], [959646.78471273, 1946281.66959114], [959661.5, 1946272.29491924], [959676.976347652, 1946264.23844259], [959693.095971335, 1946257.56147584], [959709.736190979, 1946252.31483474], [959726.770364467, 1946248.5384494], [959744.06885145, 1946246.26106038], [959761.5, 1946245.5] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11680003,서울특별시 강남구3,서울특별시 강남구 대치동(대치역사거리 부근),4,4,0,1,2,1,37.493694,127.061431,"{ type: Polygon, coordinates: [ [ [961231.5, 1943717], [961248.93114855, 1943717.76106038], [961266.229635533, 1943720.0384494], [961283.263809021, 1943723.81483474], [961299.904028665, 1943729.06147584], [961316.023652348, 1943735.73844259], [961331.5, 1943743.79491924], [961346.21528727, 1943753.16959114], [961360.057521937, 1943763.79111138], [961372.921356237, 1943775.57864376], [961384.708888624, 1943788.44247806], [961395.330408858, 1943802.28471273], [961404.705080757, 1943817], [961412.761557407, 1943832.47634765], [961419.438524157, 1943848.59597133], [961424.685165258, 1943865.23619098], [961428.461550603, 1943882.27036447], [961430.738939618, 1943899.56885145], [961431.5, 1943917], [961430.738939618, 1943934.43114855], [961428.461550603, 1943951.72963553], [961424.685165258, 1943968.76380902], [961419.438524157, 1943985.40402867], [961412.761557407, 1944001.52365235], [961404.705080757, 1944017], [961395.330408858, 1944031.71528727], [961384.708888624, 1944045.55752194], [961372.921356237, 1944058.42135624], [961360.057521937, 1944070.20888862], [961346.21528727, 1944080.83040886], [961331.5, 1944090.20508076], [961316.023652348, 1944098.26155741], [961299.904028665, 1944104.93852416], [961283.263809021, 1944110.18516526], [961266.229635533, 1944113.9615506], [961248.93114855, 1944116.23893962], [961231.5, 1944117], [961214.06885145, 1944116.23893962], [961196.770364467, 1944113.9615506], [961179.73619098, 1944110.18516526], [961163.095971335, 1944104.93852416], [961146.976347652, 1944098.26155741], [961131.5, 1944090.20508076], [961116.78471273, 1944080.83040886], [961102.942478063, 1944070.20888862], [961090.078643763, 1944058.42135624], [961078.291111376, 1944045.55752194], [961067.669591142, 1944031.71528727], [961058.294919243, 1944017], [961050.238442593, 1944001.52365235], [961043.561475843, 1943985.40402867], [961038.314834742, 1943968.76380902], [961034.538449398, 1943951.72963553], [961032.261060382, 1943934.43114855], [961031.5, 1943917], [961032.261060382, 1943899.56885145], [961034.538449398, 1943882.27036447], [961038.314834742, 1943865.23619098], [961043.561475843, 1943848.59597133], [961050.238442593, 1943832.47634765], [961058.294919243, 1943817], [961067.669591142, 1943802.28471273], [961078.291111376, 1943788.44247806], [961090.078643763, 1943775.57864376], [961102.942478063, 1943763.79111138], [961116.78471273, 1943753.16959114], [961131.5, 1943743.79491924], [961146.976347652, 1943735.73844259], [961163.095971335, 1943729.06147584], [961179.73619098, 1943723.81483474], [961196.770364467, 1943720.0384494], [961214.06885145, 1943717.76106038], [961231.5, 1943717] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11680002,서울특별시 강남구2,서울특별시 강남구 대치동(도성초교교차로 부근),4,4,0,2,2,0,37.499882,127.051865,"{ type: Polygon, coordinates: [ [ [960389.104652629, 1944407.50712394], [960406.535801179, 1944408.26818432], [960423.834288163, 1944410.54557334], [960440.86846165, 1944414.32195868], [960457.508681294, 1944419.56859978], [960473.628304977, 1944426.24556653], [960489.104652629, 1944434.30204318], [960503.819939899, 1944443.67671508], [960517.662174566, 1944454.29823532], [960530.526008866, 1944466.0857677], [960542.313541253, 1944478.949602], [960552.935061487, 1944492.79183667], [960562.309733386, 1944507.50712394], [960570.366210036, 1944522.98347159], [960577.043176786, 1944539.10309528], [960582.289817887, 1944555.74331492], [960586.066203231, 1944572.77748841], [960588.343592247, 1944590.07597539], [960589.104652629, 1944607.50712394], [960588.343592247, 1944624.93827249], [960586.066203231, 1944642.23675947], [960582.289817887, 1944659.27093296], [960577.043176786, 1944675.91115261], [960570.366210036, 1944692.03077629], [960562.309733386, 1944707.50712394], [960552.935061487, 1944722.22241121], [960542.313541253, 1944736.06464588], [960530.526008866, 1944748.92848018], [960517.662174566, 1944760.71601256], [960503.819939899, 1944771.3375328], [960489.104652629, 1944780.7122047], [960473.628304977, 1944788.76868135], [960457.508681294, 1944795.4456481], [960440.86846165, 1944800.6922892], [960423.834288163, 1944804.46867454], [960406.535801179, 1944806.74606356], [960389.104652629, 1944807.50712394], [960371.67350408, 1944806.74606356], [960354.375017096, 1944804.46867454], [960337.340843609, 1944800.6922892], [960320.700623964, 1944795.4456481], [960304.581000281, 1944788.76868135], [960289.104652629, 1944780.7122047], [960274.389365359, 1944771.3375328], [960260.547130692, 1944760.71601256], [960247.683296392, 1944748.92848018], [960235.895764005, 1944736.06464588], [960225.274243771, 1944722.22241121], [960215.899571872, 1944707.50712394], [960207.843095222, 1944692.03077629], [960201.166128472, 1944675.91115261], [960195.919487371, 1944659.27093296], [960192.143102027, 1944642.23675947], [960189.865713011, 1944624.93827249], [960189.104652629, 1944607.50712394], [960189.865713011, 1944590.07597539], [960192.143102027, 1944572.77748841], [960195.919487371, 1944555.74331492], [960201.166128472, 1944539.10309528], [960207.843095222, 1944522.98347159], [960215.899571872, 1944507.50712394], [960225.274243771, 1944492.79183667], [960235.895764005, 1944478.949602], [960247.683296392, 1944466.0857677], [960260.547130692, 1944454.29823532], [960274.389365359, 1944443.67671508], [960289.104652629, 1944434.30204318], [960304.581000281, 1944426.24556653], [960320.700623964, 1944419.56859978], [960337.340843609, 1944414.32195868], [960354.375017096, 1944410.54557334], [960371.67350408, 1944408.26818432], [960389.104652629, 1944407.50712394] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11680001,서울특별시 강남구1,서울특별시 강남구 대치동(대치삼성아파트앞교차로 부근),7,7,0,1,6,0,37.497830,127.058910,"{ type: Polygon, coordinates: [ [ [961010.759345436, 1944176.9012233], [961028.190493986, 1944177.66228368], [961045.48898097, 1944179.9396727], [961062.523154457, 1944183.71605804], [961079.163374101, 1944188.96269914], [961095.282997784, 1944195.63966589], [961110.759345436, 1944203.69614254], [961125.474632706, 1944213.07081444], [961139.316867373, 1944223.69233468], [961152.180701673, 1944235.47986706], [961163.96823406, 1944248.34370136], [961174.589754294, 1944262.18593603], [961183.964426193, 1944276.9012233], [961192.020902843, 1944292.37757095], [961198.697869593, 1944308.49719464], [961203.944510694, 1944325.13741428], [961207.720896038, 1944342.17158777], [961209.998285054, 1944359.47007475], [961210.759345436, 1944376.9012233], [961209.998285054, 1944394.33237185], [961207.720896038, 1944411.63085883], [961203.944510694, 1944428.66503232], [961198.697869593, 1944445.30525197], [961192.020902843, 1944461.42487565], [961183.964426193, 1944476.9012233], [961174.589754294, 1944491.61651057], [961163.96823406, 1944505.45874524], [961152.180701673, 1944518.32257954], [961139.316867373, 1944530.11011192], [961125.474632706, 1944540.73163216], [961110.759345436, 1944550.10630406], [961095.282997784, 1944558.16278071], [961079.163374101, 1944564.83974746], [961062.523154457, 1944570.08638856], [961045.48898097, 1944573.8627739], [961028.190493986, 1944576.14016292], [961010.759345436, 1944576.9012233], [960993.328196887, 1944576.14016292], [960976.029709903, 1944573.8627739], [960958.995536416, 1944570.08638856], [960942.355316771, 1944564.83974746], [960926.235693088, 1944558.16278071], [960910.759345436, 1944550.10630406], [960896.044058166, 1944540.73163216], [960882.201823499, 1944530.11011192], [960869.337989199, 1944518.32257954], [960857.550456812, 1944505.45874524], [960846.928936578, 1944491.61651057], [960837.554264679, 1944476.9012233], [960829.497788029, 1944461.42487565], [960822.820821279, 1944445.30525197], [960817.574180178, 1944428.66503232], [960813.797794834, 1944411.63085883], [960811.520405818, 1944394.33237185], [960810.759345436, 1944376.9012233], [960811.520405818, 1944359.47007475], [960813.797794834, 1944342.17158777], [960817.574180178, 1944325.13741428], [960822.820821279, 1944308.49719464], [960829.497788029, 1944292.37757095], [960837.554264679, 1944276.9012233], [960846.928936578, 1944262.18593603], [960857.550456812, 1944248.34370136], [960869.337989199, 1944235.47986706], [960882.201823499, 1944223.69233468], [960896.044058166, 1944213.07081444], [960910.759345436, 1944203.69614254], [960926.235693088, 1944195.63966589], [960942.355316771, 1944188.96269914], [960958.995536416, 1944183.71605804], [960976.029709903, 1944179.9396727], [960993.328196887, 1944177.66228368], [961010.759345436, 1944176.9012233] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11620001,서울특별시 관악구1,서울특별시 관악구 신림동(난곡우체국앞교차로 부근),3,3,0,1,2,0,37.476456,126.914321,"{ type: Polygon, coordinates: [ [ [948215.259582193, 1941875.29203369], [948232.690730743, 1941876.05309407], [948249.989217726, 1941878.33048309], [948267.023391214, 1941882.10686843], [948283.663610858, 1941887.35350953], [948299.783234541, 1941894.03047628], [948315.259582193, 1941902.08695293], [948329.974869463, 1941911.46162483], [948343.81710413, 1941922.08314507], [948356.68093843, 1941933.87067745], [948368.468470817, 1941946.73451175], [948379.089991051, 1941960.57674642], [948388.46466295, 1941975.29203369], [948396.5211396, 1941990.76838134], [948403.19810635, 1942006.88800503], [948408.444747451, 1942023.52822467], [948412.221132795, 1942040.56239816], [948414.498521811, 1942057.86088514], [948415.259582193, 1942075.29203369], [948414.498521811, 1942092.72318224], [948412.221132795, 1942110.02166922], [948408.444747451, 1942127.05584271], [948403.19810635, 1942143.69606236], [948396.5211396, 1942159.81568604], [948388.46466295, 1942175.29203369], [948379.089991051, 1942190.00732096], [948368.468470817, 1942203.84955563], [948356.68093843, 1942216.71338993], [948343.81710413, 1942228.50092231], [948329.974869463, 1942239.12244255], [948315.259582193, 1942248.49711445], [948299.783234541, 1942256.5535911], [948283.663610858, 1942263.23055785], [948267.023391214, 1942268.47719895], [948249.989217726, 1942272.25358429], [948232.690730743, 1942274.53097331], [948215.259582193, 1942275.29203369], [948197.828433644, 1942274.53097331], [948180.52994666, 1942272.25358429], [948163.495773173, 1942268.47719895], [948146.855553528, 1942263.23055785], [948130.735929845, 1942256.5535911], [948115.259582193, 1942248.49711445], [948100.544294923, 1942239.12244255], [948086.702060256, 1942228.50092231], [948073.838225956, 1942216.71338993], [948062.050693569, 1942203.84955563], [948051.429173335, 1942190.00732096], [948042.054501436, 1942175.29203369], [948033.998024786, 1942159.81568604], [948027.321058036, 1942143.69606236], [948022.074416935, 1942127.05584271], [948018.298031591, 1942110.02166922], [948016.020642575, 1942092.72318224], [948015.259582193, 1942075.29203369], [948016.020642575, 1942057.86088514], [948018.298031591, 1942040.56239816], [948022.074416935, 1942023.52822467], [948027.321058036, 1942006.88800503], [948033.998024786, 1941990.76838134], [948042.054501436, 1941975.29203369], [948051.429173335, 1941960.57674642], [948062.050693569, 1941946.73451175], [948073.838225956, 1941933.87067745], [948086.702060256, 1941922.08314507], [948100.544294923, 1941911.46162483], [948115.259582193, 1941902.08695293], [948130.735929845, 1941894.03047628], [948146.855553528, 1941887.35350953], [948163.495773173, 1941882.10686843], [948180.52994666, 1941878.33048309], [948197.828433644, 1941876.05309407], [948215.259582193, 1941875.29203369] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11470002,서울특별시 양천구2,서울특별시 양천구 신월동(강월초교입구교차로 부근),3,3,0,0,3,0,37.516192,126.839571,"{ type: Polygon, coordinates: [ [ [941636.943946188, 1946327.60127055], [941654.375094738, 1946328.36233093], [941671.673581722, 1946330.63971995], [941688.707755209, 1946334.41610529], [941705.347974853, 1946339.66274639], [941721.467598536, 1946346.33971314], [941736.943946188, 1946354.39618979], [941751.659233458, 1946363.77086169], [941765.501468125, 1946374.39238193], [941778.365302425, 1946386.17991431], [941790.152834812, 1946399.04374861], [941800.774355046, 1946412.88598328], [941810.149026945, 1946427.60127055], [941818.205503595, 1946443.0776182], [941824.882470345, 1946459.19724189], [941830.129111446, 1946475.83746153], [941833.905496791, 1946492.87163502], [941836.182885806, 1946510.170122], [941836.943946188, 1946527.60127055], [941836.182885806, 1946545.0324191], [941833.905496791, 1946562.33090608], [941830.129111446, 1946579.36507957], [941824.882470345, 1946596.00529922], [941818.205503595, 1946612.1249229], [941810.149026945, 1946627.60127055], [941800.774355046, 1946642.31655782], [941790.152834812, 1946656.15879249], [941778.365302425, 1946669.02262679], [941765.501468125, 1946680.81015917], [941751.659233458, 1946691.43167941], [941736.943946188, 1946700.80635131], [941721.467598536, 1946708.86282796], [941705.347974853, 1946715.53979471], [941688.707755209, 1946720.78643581], [941671.673581722, 1946724.56282115], [941654.375094738, 1946726.84021017], [941636.943946188, 1946727.60127055], [941619.512797639, 1946726.84021017], [941602.214310655, 1946724.56282115], [941585.180137168, 1946720.78643581], [941568.539917523, 1946715.53979471], [941552.42029384, 1946708.86282796], [941536.943946188, 1946700.80635131], [941522.228658918, 1946691.43167941], [941508.386424251, 1946680.81015917], [941495.522589951, 1946669.02262679], [941483.735057564, 1946656.15879249], [941473.11353733, 1946642.31655782], [941463.738865431, 1946627.60127055], [941455.682388781, 1946612.1249229], [941449.005422031, 1946596.00529922], [941443.75878093, 1946579.36507957], [941439.982395586, 1946562.33090608], [941437.70500657, 1946545.0324191], [941436.943946188, 1946527.60127055], [941437.70500657, 1946510.170122], [941439.982395586, 1946492.87163502], [941443.75878093, 1946475.83746153], [941449.005422031, 1946459.19724189], [941455.682388781, 1946443.0776182], [941463.738865431, 1946427.60127055], [941473.11353733, 1946412.88598328], [941483.735057564, 1946399.04374861], [941495.522589951, 1946386.17991431], [941508.386424251, 1946374.39238193], [941522.228658918, 1946363.77086169], [941536.943946188, 1946354.39618979], [941552.42029384, 1946346.33971314], [941568.539917523, 1946339.66274639], [941585.180137168, 1946334.41610529], [941602.214310655, 1946330.63971995], [941619.512797639, 1946328.36233093], [941636.943946188, 1946327.60127055] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11470001,서울특별시 양천구1,서울특별시 양천구 신정동(신정교서단교차로 부근),3,3,0,1,2,0,37.518030,126.872542,"{ type: Polygon, coordinates: [ [ [944552, 1946511.5], [944569.43114855, 1946512.26106038], [944586.729635533, 1946514.5384494], [944603.763809021, 1946518.31483474], [944620.404028665, 1946523.56147584], [944636.523652348, 1946530.23844259], [944652, 1946538.29491924], [944666.71528727, 1946547.66959114], [944680.557521937, 1946558.29111138], [944693.421356237, 1946570.07864376], [944705.208888624, 1946582.94247806], [944715.830408858, 1946596.78471273], [944725.205080757, 1946611.5], [944733.261557407, 1946626.97634765], [944739.938524157, 1946643.09597133], [944745.185165258, 1946659.73619098], [944748.961550603, 1946676.77036447], [944751.238939618, 1946694.06885145], [944752, 1946711.5], [944751.238939618, 1946728.93114855], [944748.961550603, 1946746.22963553], [944745.185165258, 1946763.26380902], [944739.938524157, 1946779.90402867], [944733.261557407, 1946796.02365235], [944725.205080757, 1946811.5], [944715.830408858, 1946826.21528727], [944705.208888624, 1946840.05752194], [944693.421356237, 1946852.92135624], [944680.557521937, 1946864.70888862], [944666.71528727, 1946875.33040886], [944652, 1946884.70508076], [944636.523652348, 1946892.76155741], [944620.404028665, 1946899.43852416], [944603.763809021, 1946904.68516526], [944586.729635533, 1946908.4615506], [944569.43114855, 1946910.73893962], [944552, 1946911.5], [944534.56885145, 1946910.73893962], [944517.270364467, 1946908.4615506], [944500.236190979, 1946904.68516526], [944483.595971335, 1946899.43852416], [944467.476347652, 1946892.76155741], [944452, 1946884.70508076], [944437.28471273, 1946875.33040886], [944423.442478063, 1946864.70888862], [944410.578643763, 1946852.92135624], [944398.791111376, 1946840.05752194], [944388.169591142, 1946826.21528727], [944378.794919243, 1946811.5], [944370.738442593, 1946796.02365235], [944364.061475843, 1946779.90402867], [944358.814834742, 1946763.26380902], [944355.038449398, 1946746.22963553], [944352.761060382, 1946728.93114855], [944352, 1946711.5], [944352.761060382, 1946694.06885145], [944355.038449398, 1946676.77036447], [944358.814834742, 1946659.73619098], [944364.061475843, 1946643.09597133], [944370.738442593, 1946626.97634765], [944378.794919243, 1946611.5], [944388.169591142, 1946596.78471273], [944398.791111376, 1946582.94247806], [944410.578643763, 1946570.07864376], [944423.442478063, 1946558.29111138], [944437.28471273, 1946547.66959114], [944452, 1946538.29491924], [944467.476347652, 1946530.23844259], [944483.595971335, 1946523.56147584], [944500.236190979, 1946518.31483474], [944517.270364467, 1946514.5384494], [944534.56885145, 1946512.26106038], [944552, 1946511.5] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11410001,서울특별시 서대문구1,서울특별시 서대문구 남가좌동(가재울사거리 부근),3,3,0,0,3,0,37.575642,126.917035,"{ type: Polygon, coordinates: [ [ [948523.5, 1952878], [948540.93114855, 1952878.76106038], [948558.229635534, 1952881.0384494], [948575.263809021, 1952884.81483474], [948591.904028665, 1952890.06147584], [948608.023652348, 1952896.73844259], [948623.5, 1952904.79491924], [948638.21528727, 1952914.16959114], [948652.057521937, 1952924.79111138], [948664.921356237, 1952936.57864376], [948676.708888624, 1952949.44247806], [948687.330408858, 1952963.28471273], [948696.705080757, 1952978], [948704.761557407, 1952993.47634765], [948711.438524157, 1953009.59597133], [948716.685165258, 1953026.23619098], [948720.461550602, 1953043.27036447], [948722.738939618, 1953060.56885145], [948723.5, 1953078], [948722.738939618, 1953095.43114855], [948720.461550602, 1953112.72963553], [948716.685165258, 1953129.76380902], [948711.438524157, 1953146.40402867], [948704.761557407, 1953162.52365235], [948696.705080757, 1953178], [948687.330408858, 1953192.71528727], [948676.708888624, 1953206.55752194], [948664.921356237, 1953219.42135624], [948652.057521937, 1953231.20888862], [948638.21528727, 1953241.83040886], [948623.5, 1953251.20508076], [948608.023652348, 1953259.26155741], [948591.904028665, 1953265.93852416], [948575.263809021, 1953271.18516526], [948558.229635534, 1953274.9615506], [948540.93114855, 1953277.23893962], [948523.5, 1953278], [948506.068851451, 1953277.23893962], [948488.770364467, 1953274.9615506], [948471.73619098, 1953271.18516526], [948455.095971335, 1953265.93852416], [948438.976347652, 1953259.26155741], [948423.5, 1953251.20508076], [948408.78471273, 1953241.83040886], [948394.942478063, 1953231.20888862], [948382.078643763, 1953219.42135624], [948370.291111376, 1953206.55752194], [948359.669591142, 1953192.71528727], [948350.294919243, 1953178], [948342.238442593, 1953162.52365235], [948335.561475843, 1953146.40402867], [948330.314834742, 1953129.76380902], [948326.538449398, 1953112.72963553], [948324.261060382, 1953095.43114855], [948323.5, 1953078], [948324.261060382, 1953060.56885145], [948326.538449398, 1953043.27036447], [948330.314834742, 1953026.23619098], [948335.561475843, 1953009.59597133], [948342.238442593, 1952993.47634765], [948350.294919243, 1952978], [948359.669591142, 1952963.28471273], [948370.291111376, 1952949.44247806], [948382.078643763, 1952936.57864376], [948394.942478063, 1952924.79111138], [948408.78471273, 1952914.16959114], [948423.5, 1952904.79491924], [948438.976347652, 1952896.73844259], [948455.095971335, 1952890.06147584], [948471.73619098, 1952884.81483474], [948488.770364467, 1952881.0384494], [948506.068851451, 1952878.76106038], [948523.5, 1952878] ] ] }",2025-09-24,B555234,한국도로교통공단
2025108,2024,보행어린이,11380002,서울특별시 은평구2,서울특별시 은평구 역촌동(서울역촌초등학교 부근),3,3,0,0,3,0,37.601519,126.915111,"{ type: Polygon, coordinates: [ [ [948371.5, 1955750], [948388.93114855, 1955750.76106038], [948406.229635533, 1955753.0384494], [948423.263809021, 1955756.81483474], [948439.904028665, 1955762.06147584], [948456.023652348, 1955768.73844259], [948471.5, 1955776.79491924], [948486.21528727, 1955786.16959114], [948500.057521937, 1955796.79111138], [948512.921356237, 1955808.57864376], [948524.708888624, 1955821.44247806], [948535.330408858, 1955835.28471273], [948544.705080757, 1955850], [948552.761557407, 1955865.47634765], [948559.438524157, 1955881.59597134], [948564.685165258, 1955898.23619098], [948568.461550603, 1955915.27036447], [948570.738939618, 1955932.56885145], [948571.5, 1955950], [948570.738939618, 1955967.43114855], [948568.461550603, 1955984.72963553], [948564.685165258, 1956001.76380902], [948559.438524157, 1956018.40402867], [948552.761557407, 1956034.52365235], [948544.705080757, 1956050], [948535.330408858, 1956064.71528727], [948524.708888624, 1956078.55752194], [948512.921356237, 1956091.42135624], [948500.057521937, 1956103.20888862], [948486.21528727, 1956113.83040886], [948471.5, 1956123.20508076], [948456.023652348, 1956131.26155741], [948439.904028665, 1956137.93852416], [948423.263809021, 1956143.18516526], [948406.229635533, 1956146.9615506], [948388.93114855, 1956149.23893962], [948371.5, 1956150], [948354.06885145, 1956149.23893962], [948336.770364467, 1956146.9615506], [948319.73619098, 1956143.18516526], [948303.095971335, 1956137.93852416], [948286.976347652, 1956131.26155741], [948271.5, 1956123.20508076], [948256.78471273, 1956113.83040886], [948242.942478063, 1956103.20888862], [948230.078643763, 1956091.42135624], [948218.291111376, 1956078.55752194], [948207.669591142, 1956064.71528727], [948198.294919243, 1956050], [948190.238442593, 1956034.52365235], [948183.561475843, 1956018.40402867], [948178.314834742, 1956001.76380902], [948174.538449398, 1955984.72963553], [948172.261060382, 1955967.43114855], [948171.5, 1955950], [948172.261060382, 1955932.56885145], [948174.538449398, 1955915.27036447], [948178.314834742, 1955898.23619098], [948183.561475843, 1955881.59597134], [948190.238442593, 1955865.47634765], [948198.294919243, 1955850], [948207.669591142, 1955835.28471273], [948218.291111376, 1955821.44247806], [948230.078643763, 1955808.57864376], [948242.942478063, 1955796.79111138], [948256.78471273, 1955786.16959114], [948271.5, 1955776.79491924], [948286.976347652, 1955768.73844259], [948303.095971335, 1955762.06147584], [948319.73619098, 1955756.81483474], [948336.770364467, 1955753.0384494], [948354.06885145, 1955750.76106038], [948371.5, 1955750] ] ] }",2025-09-24,B555234,한국도로교통공단
